package,version,license,source
is-extglob,2.1.1,MIT,website/package-lock.json
is-glob,4.0.3,MIT,website/package-lock.json
is-plain-obj,4.1.0,MIT,website/package-lock.json
isexe,2.0.0,ISC,website/package-lock.json
js-yaml,4.3.2,MIT,website/package-lock.json
json-buffer,3.0.1,MIT,website/package-lock.json
json-schema-traverse,0.4.1,MIT,website/package-lock.json
json-schema-traverse,1.0.0,MIT,website/package-lock.json
json-stable-stringify-without-jsonify,1.0.1,MIT,website/package-lock.json
jsonc-parser,2.3.1,MIT,website/package-lock.json
jsonc-parser,3.3.1,MIT,website/package-lock.json
keyv,4.5.4,MIT,website/package-lock.json
kleur,4.1.5,MIT,website/package-lock.json
levn,0.4.1,MIT,website/package-lock.json
lightningcss,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-android-arm64,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-darwin-arm64,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-darwin-x64,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-freebsd-x64,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-linux-arm-gnueabihf,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-linux-arm64-gnu,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-linux-arm64-musl,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-linux-x64-gnu,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-linux-x64-musl,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-win32-arm64-msvc,1.33.0,MPL-2.0,website/package-lock.json
lightningcss-win32-x64-msvc,1.33.0,MPL-2.0,website/package-lock.json
locate-path,6.0.0,MIT,website/package-lock.json
lru-cache,11.5.2,BlueOak-1.0.0,website/package-lock.json
magic-string,0.30.21,MIT,website/package-lock.json
magic-string,1.2.3,MIT,website/package-lock.json
magicast,0.5.4,MIT,website/package-lock.json
mdast-util-to-hast,13.2.1,MIT,website/package-lock.json
mdn-data,2.0.28,CC0-1.0,website/package-lock.json
mdn-data,2.27.1,CC0-1.0,website/package-lock.json
micromark-util-character,2.1.1,MIT,website/package-lock.json
micromark-util-encode,2.0.1,MIT,website/package-lock.json
